symbol,eodhd_identifier,identifiers_tried,status,n_observations,first_date,last_date,dataset_a_overlap_obs,dataset_a_return_corr,dataset_a_median_abs_return_diff,dataset_a_verdict,note
CNP,CNP.US,CNP.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
COP,COP.US,COP.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
CTAS,CTAS.US,CTAS.US,ok,2518,2012-03-05,2022-03-04,548,0.999993,0.0,match,
CZR,CZR.US,CZR.US,ok,2517,2012-03-05,2022-03-04,548,1.0,0.0,match,
DG,DG.US,DG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
DPZ,DPZ.US,DPZ.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
DRE,DRE.US,DRE.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
DXC,DXC.US,DXC.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
EWA,EWA.US,EWA.US,ok,2518,2012-03-05,2022-03-04,548,1.0,2e-06,match,
EWC,EWC.US,EWC.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWG,EWG.US,EWG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWH,EWH.US,EWH.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWJ,EWJ.US,EWJ.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWL,EWL.US,EWL.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWQ,EWQ.US,EWQ.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWT,EWT.US,EWT.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWU,EWU.US,EWU.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
EWY,EWY.US,EWY.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
EWZ,EWZ.US,EWZ.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
FTV,FTV.US,FTV.US,ok,1440,2016-06-13,2022-03-04,548,0.999999,1e-06,match,
GOOG,GOOG.US,GOOG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
GPC,GPC.US,GPC.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
GSG,GSG.US,GSG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
HIG,HIG.US,HIG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
HIGH.L,HIGH.LSE,HIGH.LSE,ok,1122,2017-09-25,2022-03-04,551,0.999781,0.0,match,
HST,HST.US,HST.US,ok,2518,2012-03-05,2022-03-04,548,1.0,3e-06,match,
HYG,HYG.US,HYG.US,ok,2518,2012-03-05,2022-03-04,548,1.0,1e-06,match,
IAU,IAU.US,IAU.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
ICLN,ICLN.US,ICLN.US,ok,2518,2012-03-05,2022-03-04,548,0.999999,2e-06,match,
IEAA.L,IEAA.LSE,IEAA.LSE,ok,1124,2017-09-25,2022-03-04,551,1.0,0.0,match,
IEF,IEF.US,IEF.US,ok,2518,2012-03-05,2022-03-04,548,1.0,0.0,match,
IEFM.L,IEFM.LSE,IEFM.LSE,ok,1804,2015-01-19,2022-03-04,551,1.0,0.0,match,
IEMG,IEMG.US,IEMG.US,ok,2357,2012-10-22,2022-03-04,548,1.0,1e-06,match,
